iteration,seconds,mse,rmse,mae,wmape,smape
1,57,235.04457960371542,15.33116367415453,14.83696052000781,334.64676093189905,133.14319913748344
2,114,233.69126014258026,15.286963731970461,14.771903167067379,336.31810939741234,133.66947734920277
3,172,217.91258120669815,14.761862389505538,14.240887521410423,330.54615654025395,133.28389842731016
4,229,207.50099813441008,14.404894936597422,13.821907174060044,293.3960956573123,128.05343805302957
5,286,208.48584722849031,14.439038999479513,13.558471441429708,211.48713408084362,113.81643624990092
6,344,47.74102229640037,6.909487846172129,6.346907419232262,158.67268548080656,97.20577496365141
7,401,56.94004451596467,7.545862741659477,7.3571099537158835,236.47853422658196,112.94428284562032
8,458,67.85160208696486,8.237208391619388,7.950572437690563,305.7912476034832,129.33123391940865
9,516,61.563024227555424,7.846210819724093,7.32814942504338,201.16488617766143,110.50467226350358
10,574,69.82488978700012,8.356128875681616,7.9814058419776766,290.23293970827916,136.125368383386
11,631,44.19563421375887,6.647979709186759,6.027478549237723,136.9881488463119,90.44212083230327
12,690,74.16226709279773,8.611751685504972,8.30368464760725,393.33243067613296,140.7388577130614
13,747,50.52579328128974,7.108149779041642,6.343648322368068,122.21707777039397,91.36366180853267
14,803,43.13859196116865,6.567997560989853,6.031521815178055,120.63043630356111,88.90841979018565
15,860,56.037056729102645,7.48579032094158,7.066341714575239,190.9822085020335,110.21085902493498
16,917,50.675634285669595,7.118682061004663,6.237918992407179,122.53055163656958,90.6593183865305
17,975,70.85139144539237,8.417326858652476,8.134887731493661,348.6380456354426,135.18966196795017
18,1032,60.10110250712306,7.752490084296984,7.19325195156805,184.96933589746416,107.0536969774897
19,1089,66.92440179683709,8.18073357327062,8.089009739900792,353.8941761206596,131.20251590948638
20,1147,52.436349973857745,7.241294771921507,6.275171119624528,131.34079087586224,94.1374566250941
21,1204,82.45199804423011,9.08030825711496,8.737542540208256,415.0332706598922,144.64676408001662
22,1261,56.94004451596467,7.545862741659477,7.3571099537158835,236.47853422658196,112.94428284562032
23,1318,59.523227056356596,7.715129749806972,7.428131454341093,309.50547726421223,132.1787123473301
24,1375,49.46255224831523,7.03296184038526,6.249794663899645,118.05167698477108,89.8129290499415
25,1432,45.67290104675909,6.7581729074328285,6.052536358630093,139.67391596838675,92.80910055162202
26,1489,58.07065026599346,7.620410111404337,6.968221064826995,199.09203042362844,111.77629958393635
27,1546,55.3028278522889,7.4365871105157435,7.113808908042887,210.7795232012707,109.84768618864697
28,1603,57.43879515658111,7.578838641677305,6.939600683661407,136.4195006189849,103.45512342015637
29,1660,63.4401547484652,7.964932815062862,7.768002008673548,302.0889670039713,125.88163307549792
30,1717,82.48139744853863,9.08192696780472,9.05398026143847,679.0485196078852,157.505258347286
31,1774,50.99691928120865,7.141212731827042,6.432998266069765,155.27926849133914,100.67578227764295
32,1832,60.348417908577126,7.768424416094755,7.051819818797191,162.96222270329642,106.49521235925894
33,1889,63.000343088770194,7.9372755457253845,7.623461505011094,266.8211526753883,122.08480348553772
34,1946,5.922708868484573,2.433661617498327,2.433661617498327,34.76659453569039,29.61800813650683
35,2003,62.10225887743352,7.880498643958612,7.880498643958612,394.0249321979306,132.66275903269343
36,2060,38.217413284921584,6.182023397312694,5.876215898426604,138.26390349239068,87.69533361486278
37,2118,62.10225887743352,7.880498643958612,7.880498643958612,394.0249321979306,132.66275903269343
38,2175,28.71594309792895,5.3587258838206075,4.615281848747534,80.26577128256581,63.90482719042596
39,2232,84.28781662469453,9.180839647041797,9.126215898426604,912.6215898426605,167.01361716214367
40,2289,62.88211740385846,7.929824550635308,7.2463942991907,189.00733517704776,112.4889120296877
41,2347,26.359112937037747,5.134112672803135,4.882045816043903,97.64091632087806,67.7302376085274
42,2404,82.48139744853863,9.08192696780472,9.05398026143847,679.0485196078852,157.505258347286
43,2461,60.70851434206197,7.79156687336135,7.065963607004391,187.04021312658682,117.16313753825736
44,2518,26.27808943728168,5.126215898426604,5.126215898426604,102.5243179685321,67.77922426665643
45,2576,97.62425345326797,9.880498643958612,9.880498643958612,Infinity,200.0
46,2632,56.57217842772138,7.521447894369898,6.858581243928951,192.04027483001062,111.41625968952357
47,2690,30.95115043747025,5.563375813071615,4.377643480270607,77.25253200477542,69.9845560677317
48,2747,46.62012250398098,6.827892976898582,6.612190203338887,188.91972009539677,102.7461318508555
49,2804,30.25712087066608,5.500647313786449,5.122858627233996,64.03573284042496,67.92383597251471
